3760 8617
3259 560 608658345
1716 2880 997333122
3150 2021 969071081
3053 2607 47746214
262 1806 599929941
2135 1995 852888182
56 29 228241774
890 178 378846569
1864 384 681711491
809 1230 33176369
1754 427 517626012
1776 2796 571865495
181 3596 920843165
3275 1916 716715692
86 485 860960664
1322 2472 636590834
2429 426 180353895
2091 2399 539255105
2781 3089 557182794
300 728 692023412
480 1350 205765125
2180 1013 16079620
902 2944 160958674
114 1361 852863406
3541 2252 505541787
1600 3070 778339665
268 1505 38298334
2123 1818 808243594
2670 648 806372656
201 3713 590873869
2192 3111 961248621
2757 636 608670700
913 875 786763126
2565 2857 785450073
651 1482 932438257
3068 1263 119198899
1319 1043 951210658
2412 3213 576262143
1140 1349 871167407
1528 90 503654438
1649 3646 261946276
1146 3624 822432292
243 3005 35398345
699 58 716149918
1531 1009 233454671
3371 22 383022446
2682 1193 755940237
1306 1971 764174848
469 1530 315590630
1141 1844 402933587
2153 2117 860558714
847 1056 303022188
2873 691 231888531
1697 2815 158753883
474 3691 392103321
2086 1952 41040143
285 334 201882287
1555 381 775430992
2353 2757 943582683
2925 956 170417414
399 1862 575808815
302 74 737466861
3698 3485 360796661
2655 1753 699226948
949 2698 819508813
524 1024 271742819
678 2243 206328825
2692 1528 664317714
2244 2749 362880416
3479 268 628587896
3005 1978 791161319
1782 3119 589768797
3121 2980 114413856
388 1322 533659353
1354 501 872422747
2493 1020 428643290
3590 3491 225353592
1842 808 10576779
3325 1143 534575545
897 624 45055036
2859 135 863920896
1800 1824 78587902
1896 2479 276126280
2108 2203 969131366
1070 1497 151620204
2531 1359 674209746
2996 591 300032411
248 803 560946987
2440 3166 861895758
2943 1101 263861687
860 3514 649771416
3570 1532 350304437
3046 3494 433511773
928 2440 542475730
1084 647 972528739
961 1421 326079173
2398 2928 57736420
1857 1628 198921831
2058 2518 522037253
2628 1304 946049450
2886 993 935007216
284 2816 216931916
2083 202 497258733
1469 3622 102427845
372 95 595516170
453 626 957092731
1993 1698 610843884
1611 614 181430577
1195 3313 557418868
1501 1289 812742011
2996 1768 335526462
3239 1353 223153490
3336 2447 745161396
167 3413 825874055
2207 1048 597385604
3741 3064 485351127
2037 2450 647022188
710 2955 475072630
3317 742 385247195
2207 1675 697603668
158 2242 347431200
1667 3593 628077553
3513 34 303207318
1682 1868 273839013
110 43 586770923
2333 3375 885300247
2513 2146 194313364
1017 250 227509855
2571 3128 399878724
753 2871 549634180
2389 3320 220153471
1127 323 880981966
2767 3061 407064671
2915 593 29266109
1899 2889 212292693
3263 1547 124506741
1562 2454 162125055
3462 2894 46860194
2771 1571 917232534
2666 1403 164309696
883 3688 631250528
2492 764 153323722
3129 1584 365818145
3345 1903 202714086
3449 2851 320742932
2297 2438 31046350
689 1335 138884776
2945 1059 706371031
3701 832 126555510
1160 2326 609879998
160 3518 157053070
2122 351 570341493
3335 1496 753706732
1801 3217 534136601
1584 3563 799758236
3757 2616 829006604
2253 504 873355593
1449 1273 887898545
3049 783 567743626
938 3252 950461889
3749 382 532517617
3033 2605 81928769
927 2851 227801408
2157 3502 414785175
2742 1012 877173816
892 1233 573735601
3179 186 745056334
1230 2623 617217076
3041 131 690824629
182 1001 540802873
1522 2153 694716393
3581 399 219429232
1023 159 572513764
2896 1057 650962433
443 104 370185415
1996 1413 2348022
3200 859 689552546
3182 3041 731113958
344 2766 576053354
2155 2679 591591062
6 405 894937002
2227 3213 885229595
3660 446 424807711
3329 3002 739394581
811 78 796861704
506 260 68635050
1687 479 380113647
1924 2989 398848063
1311 1604 614201870
3494 3344 633269045
3402 935 488891653
1047 33 328426018
2087 1465 111316488
1873 3093 443123218
1951 3511 50980467
2141 3612 910633611
2809 1061 270308436
1927 540 712905928
3453 2629 916890890
1455 3580 978784724
2469 1530 101458372
2782 2895 68614322
2468 3499 319561476
3592 2371 159330380
1396 3352 731837367
3197 3268 734479424
762 2540 48059068
110 2576 797949105
2553 2820 178754301
875 1275 874179090
629 2928 719750701
645 3718 591062313
1275 871 623430080
2732 576 427365681
780 2892 859738770
3461 1621 755734969
2176 3195 650663450
1229 3753 141129837
2792 1227 859534125
72 1876 426742981
1377 534 610416144
3709 1187 912373194
1651 720 260683248
3438 3361 948554572
2815 3007 171749638
2756 1686 679983928
2124 435 473172363
2925 1807 376975169
1166 302 163678896
2886 1343 372927846
264 1221 382817186
1380 702 341885049
1679 291 572867768
1225 2695 284622704
1197 1723 955796321
2131 1206 43842036
2300 3053 958974362
632 2263 119637536
1337 2599 260445089
3153 498 399814392
1699 1824 254282749
1555 2787 613733977
989 3098 153494111
2500 1339 36904828
889 2161 657108871
3000 3193 319116869
3465 2220 497260498
3729 1886 670713341
2266 2348 903982409
2744 2497 846946945
433 2830 721385934
418 1693 328788002
2920 1373 300183721
230 2712 201688079
2046 3366 631779444
1577 128 383826820
2169 1741 540663523
2229 2719 467289460
3638 2771 18325155
1219 2702 540379582
3420 1539 528850358
2602 203 363669205
1882 1879 130412767
2419 2723 554652026
3271 1379 506759756
1195 3731 484352084
3237 2831 417821168
2895 3150 278094791
475 658 368924405
3345 1323 220697454
2915 950 379236741
1029 1199 773562447
2520 1004 716878376
2719 590 533902536
2921 291 874836244
3388 3721 918654149
1252 1703 173562477
2786 1265 614339543
2590 451 463739361
1585 1821 303714654
2004 713 570559587
3182 1488 936805125
591 898 488335410
234 3291 547543318
1037 1453 259452479
2641 1396 305253067
1522 3732 59657930
2061 842 129859527
3443 1833 416396780
1572 1146 8373039
1968 3657 301670614
1475 9 838442029
2848 1274 9059385
1356 1920 72078423
710 146 362426721
2464 122 45431509
3450 1229 908748695
1520 2134 410719772
1789 3048 233234418
3157 2133 629241054
291 3289 181619106
913 2587 3964869
3026 1644 665918727
1202 2607 136015349
1079 3663 544789047
2330 1139 821843943
568 2727 69986430
3678 818 609672371
3397 2697 768496344
1475 1114 751241906
1193 785 265241629
3288 678 282628472
2831 1943 364686829
1460 1274 660368083
2238 1415 3557480
1271 1411 757480537
2877 1524 961235727
1975 1623 743548880
3402 3715 934098991
342 3078 957246817
1300 2194 888473486
2719 1440 225873496
1158 2954 625940999
3194 651 635722647
839 3068 244800197
1180 1726 644556147
980 3058 888517063
2510 1806 745307208
2964 1155 514209015
472 1748 442144128
99 3583 422085198
151 717 224112510
3757 1151 193873524
1088 863 653302398
1783 1162 642684929
2489 1924 879508986
332 1240 21903845
3285 2049 88173213
2247 1451 445958643
2647 1904 44759614
3415 3257 339183820
1724 2444 58529271
895 779 417396018
420 907 764676584
111 317 913126201
2600 1172 388524022
2648 2893 462422569
2038 1031 7184659
3753 500 472992373
29 2461 925856670
3051 711 817105696
3512 3505 407082222
535 1178 301272096
2924 178 144067059
746 815 241982237
2638 3281 807057838
1080 2857 524877571
1510 66 232525598
42 1507 1012924
2256 1205 501819168
276 856 115819140
2500 3218 704911073
3486 3618 765826268
3059 2492 365209517
1704 2366 541613247
1554 1117 387675345
1329 298 710613566
1479 2436 169312231
3144 3095 641927433
2134 749 19292861
570 1069 20993818
1524 2029 681614551
1290 392 528044277
2261 2096 844197432
2837 283 652925797
2875 2727 895381822
161 667 505949454
3370 1653 618832117
2654 3598 668174094
1454 2405 19211105
1551 2443 695079765
2004 3119 537784655
2313 650 348314179
3114 3538 570376214
3092 1041 929829063
2706 3214 535462182
3456 874 499200001
3715 1243 715811238
3454 835 405500885
1067 3656 844194087
148 2355 501953593
2311 3216 253420246
1776 2753 708818808
2997 2809 582263700
294 1780 240968492
1706 971 150873100
948 1850 440256802
1018 3391 949723432
2364 1389 847616142
122 892 205532548
2093 1460 546117189
638 1993 620067772
737 2647 448994836
3256 2102 241869896
1762 1363 757926285
129 2609 99817951
596 3742 309308630
369 1373 386321967
2555 878 399169436
958 3727 126934750
2817 2408 731900313
3711 1736 741271229
3022 3278 821387703
1256 134 100894436
1790 3687 952182682
1867 3094 972804187
140 2826 524362982
1208 2302 103400475
1750 103 504181636
3570 803 754406967
1707 2135 603232238
1134 2580 775645153
2816 1897 920144732
1156 1604 747792600
1063 2536 414727637
1608 936 135141643
2220 483 791184384
2688 1180 527295608
2539 2114 459008468
2577 2493 335045505
1639 3232 488017659
1670 701 617442360
3206 1289 609520382
2468 56 434909507
1683 3059 624238754
3427 3076 977964837
1439 739 183849490
843 835 694456677
74 1835 264976313
1098 2082 654433110
931 3013 295240450
2817 3134 365736818
3494 1445 328812880
467 2728 951847030
971 2135 684409857
279 1372 37111817
19 621 84921553
65 1687 447148379
1257 1787 95790416
1189 2018 75810845
998 3241 468457488
590 3470 785789747
3072 3478 200204818
3732 2448 371777450
2152 700 77086609
833 3446 527742367
288 2133 301442180
1763 547 798164786
3085 532 766032720
389 926 807880091
26 306 238881378
3242 168 108619069
2881 1426 821825322
460 1301 745991347
2936 396 401133655
1759 1439 111858508
1689 2982 773508988
55 1707 77498318
2458 1636 973026
614 2233 268873289
1595 173 9154158
1797 3206 775252834
1121 3695 26321738
1912 1043 866302043
2676 3743 94837314
2856 1190 88380052
2177 2788 768055728
420 2454 47337707
2496 1566 187830698
3176 3594 822279007
2863 199 358354552
552 1974 521600184
844 3742 587079307
2161 416 452032549
1763 761 450874041
2920 3128 212364800
967 3123 751156569
1512 181 494940735
2765 3025 220829661
3250 2109 475552180
1593 483 689185178
2474 3083 657114546
1690 1946 767932821
1994 3685 520811669
3458 3335 825487994
2695 2664 162127129
1373 466 694073217
2804 1241 599053669
2444 2720 330605382
1941 2496 219070726
202 3732 5805785
3114 2798 58214065
3311 3557 130262891
105 279 254386901
3558 2586 295703455
1318 1180 379642661
701 3252 771368095
1585 3757 598238328
1614 2530 259892861
412 1338 139818424
1383 671 264512072
1728 3033 816080703
1042 494 820723926
515 2241 320651109
623 3488 176745512
364 806 625386445
2081 960 456842032
1049 2632 366856506
3041 2191 441828434
189 3447 425970695
72 2347 541358067
507 3106 938068894
3491 2882 588434902
2133 2950 581392976
820 36 300482268
468 2397 598036362
2970 3230 152015870
2423 1979 115690299
36 3133 418608735
968 1401 587202810
2670 1991 890371731
1209 281 679737121
2169 2024 511788393
1711 537 388487854
204 1726 435847407
307 2605 438483702
2101 3298 857762415
1959 1416 428442331
1800 473 211562422
3087 905 533758836
3390 1135 843172767
1211 767 939856186
3617 1381 371117923
1765 2848 713277255
1134 3455 144481615
858 495 91051875
2182 1778 754476215
1806 3548 873010607
1782 3511 28947873
1300 2165 235419748
358 2218 627293093
115 255 983040523
1849 3211 833680296
2967 937 799169408
469 3162 167791461
2397 1233 178608216
3735 213 896970458
154 619 448232203
1454 3521 314421071
2681 2455 122445677
2899 965 599814065
1709 2043 817010146
1808 1925 970241897
1738 3541 860596622
669 706 222488151
2999 3181 821165373
1919 1171 609656610
2226 2098 76292157
1847 3374 282186401
1843 2464 131581660
3613 1259 868989458
1518 2489 877546309
2830 2650 693922856
2297 3013 988676953
781 872 63967149
270 2258 149794911
2771 1667 667893091
811 1005 192446483
3758 441 463131429
1335 150 12332140
1387 3585 23781603
1261 2856 430909885
1299 220 193239516
1722 265 374065294
1408 1675 207991590
2423 735 673321676
3703 2387 808146512
218 1894 578597384
3748 1230 301919284
2310 1779 538084746
3354 1074 976505676
1091 1635 283887337
3662 2743 490745744
2765 2619 426612749
62 2258 721293056
304 1105 612654250
629 3677 371794363
3186 3451 302505162
1608 3404 54141187
1787 1043 69089913
397 2344 934421918
3701 1398 830646449
2776 2660 748050000
2255 842 811404192
1901 1395 600370556
507 946 68011531
940 1399 5914481
3464 2362 388308175
1849 1525 930486763
1525 1281 935148874
940 2089 643684764
604 451 507486058
2869 945 887318202
132 3703 46207682
827 61 147009266
2302 2110 856358003
2316 58 561435562
1314 3050 258474948
2655 2111 271683118
514 2089 498288812
3539 1736 853749103
2285 451 758474813
3609 3480 831204422
3153 1953 141073707
1867 1386 406838620
1041 2067 231517298
2556 1904 234907517
1584 2715 292355934
251 282 877102401
1246 905 312962685
2979 470 863698608
3689 1933 435284055
15 1592 352355925
1026 1479 767021387
1933 574 999520079
1922 211 959750322
2983 1357 800184127
683 784 699043312
479 1340 442163793
2827 3533 460675006
1320 567 113375538
3061 1120 166693270
1004 3432 646698591
909 230 356928539
3756 1726 456866669
704 2794 948742268
1229 106 504088584
2819 3316 584356803
2034 1314 226794884
2069 1253 338161131
3312 40 877473936
1273 959 192297344
2674 96 110961361
134 1290 199934259
1577 1432 550748161
3154 1971 432228303
1032 1396 84315583
3471 272 509036953
1451 2652 711921055
3166 1071 762300975
890 248 584653875
1513 3321 2150059
410 2663 730156224
2148 903 426720735
352 2976 806285350
2739 870 867184822
1525 2020 376826727
1577 810 215275253
2368 2356 629162040
2244 1091 162672391
1776 2353 566466657
2012 2873 56585414
142 823 627102105
27 3619 435090855
634 771 247009510
2662 1569 693958467
410 1534 274240854
1265 3286 691701287
2329 970 179478049
2501 730 536008104
3690 1215 249159771
1540 3042 82499297
3667 2932 524054511
1794 776 280297980
3131 715 495462206
3430 3306 174160267
3729 3222 776981068
3565 1095 939196311
1976 3751 569901759
1814 730 72668432
690 2042 595442368
1381 3449 86533108
821 1696 973238346
3033 3429 51517442
2006 2131 37382922
1883 1762 135189083
1062 2264 183195438
3384 1691 987241464
3538 1476 876528085
1030 636 361500180
1909 705 975971988
1918 2945 479500144
3134 1626 882102484
3659 2034 29107339
3166 3208 24634419
1499 490 75282076
2676 1436 813566435
3319 1118 886740164
311 1685 754827952
2946 1684 849845011
2273 1250 53360144
380 501 862218691
1754 3379 130226051
2571 3401 675597579
1655 3036 773351066
179 1832 618355509
2134 3556 401698028
2052 285 297645047
709 1228 473227004
600 3654 377523846
1649 3005 314413695
1838 2779 58042334
2635 1685 357930195
2187 3174 342017908
651 1834 557799008
3517 399 699487214
407 214 306538661
1034 1839 803117129
3029 2501 630362821
3302 253 272301219
2469 3623 837318525
274 1556 130427996
2747 2680 568405162
1797 1553 47208005
1600 1729 291197018
2794 3271 471840224
3054 3673 691525552
2863 955 889267486
3274 3153 494649448
3076 57 504831277
313 1283 458660640
2630 474 249835568
1730 2832 867494041
3343 1731 96089892
645 3409 665410784
2545 2135 942539563
419 2361 112059423
417 456 375515904
1605 3151 657668617
567 1656 170284194
198 1781 130875466
205 769 840265313
1474 3051 510988847
925 3690 758409679
1514 1288 912946318
1578 3321 386423896
1321 3086 655632472
3683 2728 397682048
943 1570 133599220
1458 1786 616618916
2794 3009 171251536
1085 2344 721482702
3613 1448 426546540
2407 889 944335484
3008 25 854028060
1388 843 200629809
3260 3701 865606557
1233 2426 400717947
1561 1860 988770410
1947 1590 845927628
2019 3511 1786429
3325 3006 382650095
3542 3702 241298704
2350 61 450024530
773 2145 412789230
2715 2574 197939558
29 3722 805599289
1499 184 459973321
738 1908 444705549
3033 1994 164002705
2772 1211 875114160
3063 2194 535862003
1335 590 598633570
2899 69 770450259
3506 587 158156124
727 3597 100820383
3405 43 971425725
1997 2671 45191937
1562 1683 780818736
3322 1578 35786627
2699 684 116401471
312 2192 236227483
2167 2069 241904491
3743 1454 986222758
859 2363 468624282
2004 2988 900440248
1073 3623 842859746
1394 514 298133587
2747 3318 526659924
1400 1357 715895437
2390 3240 560097462
1814 1628 676594890
464 3069 673525803
1708 2544 764500867
2569 2431 454914876
1388 689 90765730
3722 2024 527449208
2322 1363 416021459
2243 3068 557301186
841 3715 810446455
2478 3245 180019554
2931 650 30868355
554 462 87212189
3555 30 92837550
3515 1108 891412221
590 58 666969539
2569 472 573170021
2594 2542 113271204
3362 487 555789124
987 562 493501552
3731 2311 790768840
220 569 114729808
1706 643 30785807
959 3257 751655288
3721 2892 22009545
2101 2525 284749365
2910 896 176523910
795 2115 956365587
1254 2881 32784867
1300 2999 858432179
958 2918 245065327
3608 2989 798906814
2231 2105 819219957
1565 1366 55579277
2385 2725 225978416
2905 1763 465736723
213 161 517428145
2447 2576 332424144
2346 1240 725273822
1276 412 755084866
3299 2111 901826645
470 1894 449296483
199 809 307120575
2304 3626 2835044
2935 207 603429762
1261 1717 640170604
2734 2598 81530464
1221 487 153263128
3712 701 459994665
3750 699 258320747
1843 2794 187588410
3355 1797 337006593
1666 869 391460546
3052 2356 1204061
1596 1357 884185132
115 3031 953096847
1514 1903 689193902
2241 1930 652825733
3180 3643 945032114
3605 254 551781821
1544 3302 219470416
2739 279 47064434
2833 3360 31041002
3631 404 440342602
1226 2361 761564688
1757 3527 101952953
3228 1812 735473827
1574 1388 586699436
2443 3760 623134341
883 3371 390321302
90 852 300588811
280 902 91652239
2361 181 369894322
277 1596 449487592
765 459 387733452
1774 1187 425519613
3137 1181 877795855
3712 1053 951911210
1745 1429 870992642
1498 1407 244605375
2935 2085 253575050
3464 559 804713782
436 2819 173171574
2436 1146 176839607
2709 3489 187391616
3077 698 734745577
1622 3590 324735039
440 2449 95412210
50 992 54716415
1435 2200 374915847
2375 3561 605618782
1398 2727 409220421
2424 2283 890442760
1392 3491 462796535
815 3445 916210897
3689 2132 464141365
2160 681 733251688
2095 45 63032597
722 469 183862264
842 2151 914741332
2536 2013 927303470
1533 1114 412630698
1213 2917 747790044
3658 853 647125472
3715 1891 573196344
2234 935 986499113
833 438 251535339
1767 1038 714004266
872 3710 997949149
1841 1822 580886060
1562 1268 802346763
590 2224 393865692
815 2660 168933583
2150 106 415127183
204 2992 834245020
1151 2267 890139149
305 3240 303858805
206 3154 77257734
427 1860 510737665
2050 116 79563402
2501 3623 303405615
1506 3567 697174729
3720 3450 517890311
679 516 826405658
1911 3748 552820528
1833 3451 152133417
3699 335 757421637
462 1081 751931427
343 1041 401653553
2157 1793 921607211
1112 1173 959813676
3447 560 190658790
1557 1890 491282176
625 3640 84095355
61 555 930111897
636 116 214343985
1496 1065 606567079
1215 699 650964912
3707 699 667394148
597 2748 302757019
1063 1408 261644950
1246 3697 804258897
2731 3381 612316996
2500 207 866935236
2633 76 192269101
1381 207 122466916
3043 2668 618268109
3015 1211 35751531
676 1608 829803797
1716 1003 525014280
2248 3752 695498273
1304 1835 174217103
3203 565 629501149
741 2159 141363807
580 1240 106717373
3013 3215 236003627
3459 1179 780291235
3598 2997 39202157
2112 84 159646058
1755 2404 176644981
2109 564 428768861
1723 1853 217949812
1891 2936 811633147
2283 1026 914632050
3557 1636 103982218
2310 15 566362610
3550 2654 619955275
153 2877 823788730
3496 3207 394447877
3268 1978 409013516
2219 755 82146178
2795 2381 240825116
2363 369 30139454
477 2876 492457137
3517 606 678173613
111 2304 953947321
25 3123 852520004
2953 1279 461630224
1824 405 78436912
2502 398 130006228
593 2382 798679576
3202 2654 373006301
1439 2970 439315528
1694 2339 187479224
2972 2068 69469642
2516 2217 267849030
483 981 751627882
750 2797 75603679
46 763 504246308
1492 3461 33766118
2352 1710 133189631
2323 2611 25448809
3533 822 668744490
3219 2822 934727240
983 1778 636603468
19 151 539752971
3474 2678 316077348
726 3298 146208257
1272 1547 71358284
137 2543 157413554
436 1735 762886426
853 617 774816368
2305 1221 304080829
166 1542 873693414
83 1920 84656449
543 3441 594110032
1242 3216 953213648
3222 989 952266681
1546 33 613405910
3291 3608 197805004
157 235 374914003
2581 3043 99417522
594 2052 430160253
187 1231 793128028
891 807 756891728
902 2502 127739696
3348 2236 497759801
438 2466 407848687
3596 1672 716891571
1214 2158 229124668
1272 642 561492181
2314 755 454775238
2990 228 739166811
2286 1793 661451173
349 2065 8943585
694 2498 623213379
3494 2762 406500572
2410 1001 736268873
2128 3126 617844685
2463 2674 49193521
3463 1165 42240469
3170 1359 689525065
2759 599 621347548
125 2800 35394419
3078 2579 642828400
1157 3543 19422711
2289 1940 748168240
37 818 307367979
84 1798 355269498
3281 2401 746763609
320 589 847441613
545 944 868905215
2580 2718 185341353
3629 21 678869169
2721 1675 691958448
2601 1445 442664145
1899 1541 903906645
1308 603 133599653
1762 1441 432305835
255 2548 121867157
1449 2538 546955189
2431 3431 490201903
968 143 448325219
2513 2071 817517446
1895 1591 131288376
611 1283 167326758
2457 3353 143886895
394 2926 6123410
3250 1263 604255229
1082 1162 806765524
2726 2809 522020578
3340 2105 450082872
437 3114 752506166
2847 2305 450499599
2278 203 211062612
1365 770 628148498
187 1854 501921857
1967 3755 254159594
3119 1181 319010370
1067 1498 467080945
2863 3330 734054298
1326 250 239045935
898 1395 608581137
1323 1181 588014400
430 1638 26752968
1980 3175 600797492
2152 939 883379716
3586 2630 665680099
3076 2935 537699106
2923 1078 240307010
2305 2406 613505890
2010 3225 197819193
1033 1304 430168154
2261 887 355947103
2174 3485 394638806
2308 2553 493272535
2942 480 538355903
522 785 987544758
3127 1266 544279490
2609 2398 590821939
2724 1851 501769576
3722 1776 288826654
2529 3329 826225877
1780 1527 995546877
2334 3577 867297405
1326 3017 98737307
1899 3017 161162624
701 2005 168822754
1140 2959 163105809
536 3446 482432674
663 2700 568634094
3259 2172 305951646
1945 2109 125429905
1144 3723 899988092
2971 2575 900747863
2000 754 750209103
1398 3040 163991015
3081 2189 732748365
1130 3600 765281003
214 1440 929478454
1227 2801 582331548
1969 245 944589467
3486 3431 147716200
3274 2467 207573593
3392 2972 604265260
238 3630 896490888
1737 3013 612896029
2511 3293 708746455
1999 720 859546549
679 2729 113619264
2864 2783 273912937
1330 3433 745699731
1443 413 178661939
3067 2654 665357184
812 1972 754154565
2021 3584 176031514
3549 2948 308274899
2254 2836 386603973
114 632 903279796
1204 772 718269699
1054 1340 617606771
647 3039 123414645
1361 957 681318491
854 616 55821615
1360 1601 533458119
24 3444 862156191
3570 638 639985052
2226 406 633518255
1590 3334 217958978
3215 1831 139889302
2753 3205 986556883
2549 692 641564336
2505 629 794218183
660 445 504931268
210 2205 714346458
2855 3477 13488050
2961 125 520329556
2416 385 651596353
899 1393 779784896
676 708 976426143
232 2669 454441766
865 903 300876170
1317 2290 920631756
1580 2801 522247571
661 1242 256637490
2917 3436 205831177
1097 3183 522294086
436 2982 191938156
2860 1946 924030539
3021 3567 916106559
593 1693 340087487
2090 1634 992073209
3664 2679 130599507
2824 959 851231998
3297 103 344882759
390 2918 374446906
768 610 271778662
2123 1771 478939658
3709 3461 797626388
3221 2535 971906339
907 2450 799066324
867 2396 453237006
1276 1251 993119689
146 821 858789706
2272 368 709864020
3017 3045 297410665
3228 3115 187254624
2197 1850 940544797
2941 1818 288901723
485 1277 661000833
2721 2782 171490868
2271 728 102469361
1832 2626 198316400
3123 3245 69042788
1106 2 9829720
862 2511 398333821
3210 3127 825863493
304 2202 681778263
1745 767 443628574
3061 3121 889577187
696 2228 708030495
180 1065 459177837
2109 3720 682951314
2513 1196 286490224
930 325 403939163
3503 51 689134582
3638 1962 537669612
1228 2724 342833867
1490 2588 859899679
2373 3632 670582946
1076 3703 618951008
2485 2232 373656115
1422 3668 534325427
683 1362 847511618
545 2472 796780059
2608 2102 953115727
1319 1279 903409646
2085 1156 20933671
2280 1710 276004616
2757 3066 135191122
3030 275 361331940
3755 2531 717597144
1148 1574 831303915
953 1321 70098097
703 679 421085040
2150 955 802221222
2361 1712 791592708
3171 1332 771575336
256 733 204777268
2294 1659 442528402
31 1524 577615665
1638 2815 258288329
290 2834 505312775
2893 353 514193803
52 3560 467338315
1287 1770 449775376
1022 3058 302428117
3194 1408 876950279
2042 1749 849050908
1918 905 897613247
3364 3222 920067830
348 2800 111097913
3545 2208 883066481
2221 1570 751835771
1022 2600 867484097
318 2029 164777683
492 1304 278226395
3079 573 677928894
1813 288 468912342
2501 1476 922088184
990 912 635799724
3434 1581 381587880
2299 3690 616775914
300 3260 332197644
3140 3265 896110097
597 1792 367340573
2057 735 224863362
2676 329 986984005
3058 1399 88598644
2267 3547 923158425
284 3046 723914359
1732 3592 866097639
44 2545 900855957
1818 1900 817492246
3170 2213 323629619
3385 390 238918101
1209 3148 163120248
2204 2934 464631174
2168 501 298207980
2567 1939 476702640
3605 6 65204398
1820 447 949982958
1679 3648 478985589
976 1076 454677851
2009 2119 727364084
2607 3266 974027566
603 1186 20907042
2010 802 998540482
1689 30 115592336
3523 2251 650522355
709 3265 631501626
2560 198 271150937
2796 1920 357875712
454 1738 813056440
2793 3178 509167829
2458 2781 690598161
261 1228 322450987
3687 1557 744211238
2493 134 703533478
3080 1364 741024977
1088 3324 471343970
